Gene,mobile_EPS_1,serotype_O11_dominant,mobile_abx_metal_resistance,ST549,China_ST463,mobile_pKLC102_type_1,mobile_phage_1,mobile_ST773_ST1203_aux,ST235,mobile_PAGI1,mobile_phage_2,serotype_O4_dominant,serotype_O3,mobile_LESGI3,ST111,clone_C_associated,ST309,ST277_dominant,serotype_O6_dominant,mobile_LHR,ST244,mobile_EPS_2,ST179_ST155,ST27,mobile_pKLC102_type_2,mobile_PAGI46,ST253,mobile_phage_3
phzD~~~phzD2~~~phzD1,0.17352382322605195,0.6394536915173498,0.038936924944125165,0.8770686206880355,0.8061224509401921,0.0,0.047521109059175275,0.3475415658892525,0.8503717671783795,0.005677434897009903,0.04415930833150226,0.7283878139418923,0.7827908667606559,0.07000797914091496,0.9043659892142081,0.8494702594547711,0.8755669431930545,0.7123451024102535,0.6746602092024137,0.06632672881736078,0.7556218805106893,0.13226068358421345,0.6877281119820621,0.6265547243625411,0.03339283778187393,0.06480062218704412,0.910226046103248,0.03525965481529331
group_28859,0.009242796180670273,0.0,0.0,0.9349132635424197,0.9564830935930112,0.0,0.0,0.0,0.0,0.02370843345091395,0.0,0.9713341985285007,0.9152630727301869,0.13115535716357155,0.9514047336246879,0.9024773629082443,0.9086134030441472,0.8315546452975647,0.759876496791231,0.010089680835015132,0.9034116667862355,0.0,0.8147096841105113,0.8044613859978814,0.10548465585687095,0.0,0.0,0.0
group_17745,0.07342102553760359,0.7137134884581059,0.0,0.9885160108302455,0.8693499015703376,0.046991687500190144,0.03497714840129525,0.2657548860037348,0.796765590254566,0.11127884563556327,0.015468067515373616,0.7554003816536279,0.8799321588387399,0.022856035360344355,0.8502174661055221,0.8582092322241669,0.7480167226908062,0.7088789234468033,0.7401352369984463,0.010190623031319752,0.7379295866413842,0.0,0.7726901114034167,0.6183955745762728,0.0,0.04974084473843626,0.8923475393465705,0.021183811304695394
group_24244,0.0,0.0,0.0,0.0,1.0153058980786605,0.0,0.0,0.12008413176469811,0.0,0.0,0.0,0.402606627746388,0.2718027287798007,0.0,0.0,0.018298810454854177,0.0,0.0,0.0037990968613888483,0.0,0.0,0.004871146870970162,1.027383373282828,0.0,0.0,0.08091458437070655,0.0,0.0
group_34684,0.0,0.0,0.013815923905796222,0.0,0.0,0.03780658161726768,0.1411524951497715,0.07907541676036409,0.6725917095825521,0.0,0.022664494397986942,0.0,0.029262141339929867,0.0,0.0,0.006091188291757799,0.4510773620543966,0.07279343185807095,0.0,0.0,0.22695573495645002,0.0,0.021779504639187597,0.0,0.0,0.053672998332384994,0.0,0.13138821439413992
group_30292,0.03223983877163255,0.0,0.0,0.0,0.06242044194998565,0.0028818280280652675,0.5523139791155758,0.0,0.314204904880181,0.0,0.21911446279918503,0.07570775046140397,0.04742838888645492,0.10282394128965248,0.0,0.0,0.0,0.0,0.007438043390184742,0.0,0.03278886576548228,0.0,0.0,0.01820824455341441,0.0,0.0,0.0,0.0904618144975583
group_29467,0.09427525370420797,0.46857634600770853,0.0,0.9625632790089308,0.9087082874423948,0.0,0.07163719016282641,0.004180164015413222,0.8809588245293652,0.05757539597210906,0.04209733893213126,0.8167139761462763,0.9928270258349503,0.2259294197970355,0.7629084010710666,0.0,0.782970261056835,0.7799539877894635,0.43231516997334674,0.12090521471484299,0.7739971250076699,0.0,0.7805258237384689,0.2981912416539171,0.00444229479477181,0.0,0.7916451737133009,0.03561781633824626
group_19650,0.006224371405433001,0.0,0.0,0.0,0.0,0.0,0.0,0.005147227311666259,0.0,0.0,0.0,0.0,0.2018392776941604,0.0,0.0,0.0,0.0014514704695819667,0.0,0.009536865202869149,0.0,0.8717978561600033,0.0,0.0,0.0,0.0,0.0,0.0,0.029471221621024262
group_28815,0.0,0.04224159158395988,0.9725583219671599,0.0,0.0,0.0,0.0,0.0,0.10371098014971479,0.0,0.0,0.0,0.0,0.052091525133000686,0.8569011368965244,0.6335026071926734,0.0,0.0,0.0,0.0,0.0,0.0,0.01941493293056725,0.0,0.0,0.0016370648226268485,0.0,0.0
vasX,0.0,0.30024769264180023,0.0,0.0,0.0,0.05601217461524984,0.0,0.9076701506422431,0.0,0.0,0.0,0.16276067269241123,0.0,0.0,1.0083674684679957,0.0,0.0,0.0,0.24236871858575065,0.0,0.0,0.0,0.0,0.8889875830061472,0.0,0.0,0.9262796944338216,0.0
group_27623,0.18301839495980243,0.38721937387105837,0.0,0.0,0.9219524535614128,0.0,0.0,0.4160018383213215,0.0,0.0,0.0,0.024747249857236944,0.22149470894301576,0.0,0.0,1.0034038435449166,0.017322629896616048,0.7878677621299127,0.16292271398959535,0.0,0.8586491336161969,0.008800687153831765,0.0,0.09386356979544007,0.0,0.0,0.0,0.0
group_29719,0.0,0.0,0.0,0.0,0.0038278078095099343,0.0,0.6660768754370648,0.0,0.16845651937699158,0.0,0.2306000683544869,0.008503139129612172,0.0,0.0,0.08956885122631385,0.0,0.0,0.0,0.05681383725267957,0.0,0.060470631920957904,0.0,0.0,0.0,0.08791309637961388,0.0,0.0,0.06289673215709861
